next_result,weighted_average5,weighted_average10
-1,-223.7333333,-766.6363636
0,-1983.4,-2526.527273
1,-950.2666667,-1696.927273
1,-30.33333333,-764.2727273
0,1160.333333,593.0727273
-1,435.6,154.6909091
-1,-537.4666667,-604.6909091
0,-1921.2,-1905.672727
-1,-1283.6,-1509.527273
-1,-2070.2,-2510.963636
1,-2523.4,-3302.854545
-1,-784.4666667,-1915.618182
0,-1170.066667,-2317.981818
1,-372.6666667,-1492.163636
-1,898.3333333,-38.96363636
0,-570.6666667,-1079.836364
1,-307.4,-637.8727273
1,931.6,712.7818182
1,1193.8,1230.581818
1,3674.2,3941.327273
-1,3092.8,3906.4
-1,-577.4666667,715.7636364
0,-2009.733333,-863.4
1,-1936.8,-1289.818182
-1,300.2666667,382.3090909
0,-1084.4,-1277.072727
0,-273.8,-816.1636364
1,-100.7333333,-650.3090909
1,544.2666667,114.0363636
-1,1066.333333,859.9818182
1,206.8,272.6545455
1,673.5333333,892.8363636
-1,1184.333333,1523.163636
-1,103.6666667,588.0727273
-1,-1562.8,-1134.854545
-1,-2796.866667,-2691.2
0,-2842.933333,-3254.836364
1,-1759.533333,-2702.054545
-1,416.3333333,-839.7272727
1,-2856.666667,-3949.581818
-1,-943.6,-2222.036364
-1,-1456,-2575.618182
1,-1445,-2482.690909
-1,432.3333333,-578.4545455
0,-666.1333333,-1419.036364
1,-835.0666667,-1422
-1,1728,1184.363636
0,528.0666667,412.8363636
-1,330.5333333,437.1454545
-1,-1869.466667,-1648.436364
1,-2491.133333,-2520.145455
0,-975.2666667,-1398.618182
1,-448.0666667,-1122.454545
1,1354.466667,606.1818182
1,3071.133333,2617.909091
0,3370.866667,3576.654545
-1,2102.333333,3015.745455
-1,128.6,1463.327273
0,-1083,226.9454545
-1,-1166.133333,-252.4545455
1,-1666.6,-1294.290909
1,398.4,177.2
1,979.4,619.4545455
1,1446.333333,1203.636364
1,1839.133333,1905.727273
1,3005.2,3480.254545
1,2663.933333,3694
0,3190.066667,4583.490909
0,2212.733333,3946.109091
-1,867.7333333,2697.690909
0,-1944.6,-312.5636364
1,-982.0666667,-55.85454545
1,862.8666667,1241.618182
-1,1496.333333,1649.563636
0,161.2666667,330.4545455
0,152.1333333,294.3272727
-1,-389.2,-157.0727273
0,-1618.866667,-1441.181818
0,-1275.4,-1405.381818
1,-907,-1303.745455
1,792.9333333,236.5636364
1,1742.866667,1307.909091
0,1847.266667,1771.745455
0,706.2666667,1077.690909
0,134.1333333,732.3090909
0,-519.6666667,114.2545455
1,-804.2,-357.9090909
1,512.8,661.7454545
1,1459.733333,1515.272727
-1,1548.733333,1735.963636
-1,-253.9333333,142.9272727
0,-1759.666667,-1378.690909
-1,-1269.8,-1159.090909
1,-3228.4,-3399.454545
1,10.6,-768.1818182
-1,1202.2,359.9818182
-1,60.26666667,-521.2909091
1,-1268.533333,-1658.727273
-1,606.6,228.7818182
0,-297.1333333,-373.4181818
-1,-180.4,-248.9636364
-1,-1416.266667,-1516.727273
0,-2298.4,-2586.709091
-1,-1506.266667,-2106.090909
-1,-2271.933333,-3123.927273
-1,-1838.666667,-2955.927273
1,-2399,-3662.436364
1,497.9333333,-920.1272727
-1,1266.6,179.6363636
0,-851.0666667,-1459.090909
1,-603.0666667,-1033.745455
